repo,tier,issue_idx,role,total_tokens,skip_tokens_removed,skip_tokens_kept,skip_pct_removed,skip_dirs_hit,freq1_tokens_kept,freq1_pct_kept,freq1_gt_coverage,combined1_tokens_kept,freq2_tokens_kept,freq2_pct_kept,freq2_gt_coverage,combined2_tokens_kept,freq5_tokens_kept,freq5_pct_kept,freq5_gt_coverage,combined5_tokens_kept,freq10_tokens_kept,freq10_pct_kept,freq10_gt_coverage,combined10_tokens_kept,freq20_tokens_kept,freq20_pct_kept,freq20_gt_coverage,combined20_tokens_kept
Deep-Live-Cam,small,0,flexible,1015,0,1015,0.0,none,1015,100.0,100.0,1015,854,84.1,100.0,854,563,55.5,100.0,563,403,39.7,100.0,403,304,30.0,100.0,304
scrapy,medium,42,single,31269,0,31269,0.0,none,31269,100.0,100.0,31269,27447,87.8,100.0,27447,15067,48.2,100.0,15067,12499,40.0,100.0,12499,6506,20.8,0.0,6506
scrapy,medium,3,multi,22689,0,22689,0.0,none,22689,100.0,60.0,22689,22677,99.9,60.0,22677,20936,92.3,60.0,20936,18526,81.7,60.0,18526,13968,61.6,60.0,13968
scrapy,medium,2,flexible,45252,14215,31036,31.4,tests,45252,100.0,100.0,31036,41863,92.5,100.0,27677,29661,65.5,100.0,17382,21678,47.9,100.0,13328,12013,26.5,100.0,6974
rich,medium,2,single,19222,0,19222,0.0,none,19222,100.0,100.0,19222,19153,99.6,100.0,19153,18917,98.4,100.0,18917,18147,94.4,0.0,18147,16103,83.8,0.0,16103
rich,medium,6,multi,20000,0,20000,0.0,none,20000,100.0,100.0,20000,19931,99.7,100.0,19931,19760,98.8,100.0,19760,19064,95.3,66.7,19064,16976,84.9,66.7,16976
rich,medium,1,flexible,19740,0,19740,0.0,none,19740,100.0,100.0,19740,19671,99.7,100.0,19671,19499,98.8,100.0,19499,18743,95.0,100.0,18743,16858,85.4,100.0,16858
fastapi,medium,13,single,3673,0,3673,0.0,none,3673,100.0,100.0,3673,3611,98.3,100.0,3611,3577,97.4,100.0,3577,2755,75.0,0.0,2755,1807,49.2,0.0,1807
fastapi,medium,5,multi,3385,0,3385,0.0,none,3385,100.0,100.0,3385,3385,100.0,100.0,3385,3323,98.2,100.0,3323,1999,59.0,100.0,1999,0,0.0,0.0,0
fastapi,medium,12,flexible,6559,0,6559,0.0,none,6559,100.0,100.0,6559,6529,99.5,100.0,6529,6048,92.2,50.0,6048,5388,82.2,50.0,5388,4486,68.4,50.0,4486
open-interpreter,medium,5,single,2890,0,2890,0.0,none,2890,100.0,100.0,2890,1808,62.6,100.0,1808,398,13.8,100.0,398,106,3.7,100.0,106,0,0.0,0.0,0
open-interpreter,medium,1,multi,3598,0,3598,0.0,none,3598,100.0,100.0,3598,2793,77.6,100.0,2793,1783,49.6,100.0,1783,1061,29.5,50.0,1061,623,17.3,50.0,623
open-interpreter,medium,6,flexible,596,0,596,0.0,none,596,100.0,100.0,596,596,100.0,100.0,596,596,100.0,100.0,596,469,78.7,100.0,469,416,69.9,100.0,416
stable-diffusion-webui,medium,0,single,25240,0,25240,0.0,none,25240,100.0,100.0,25240,25007,99.1,100.0,25007,22067,87.4,100.0,22067,17058,67.6,100.0,17058,12782,50.6,100.0,12782
stable-diffusion-webui,medium,4,multi,13142,0,13142,0.0,none,13142,100.0,0.0,13142,11745,89.4,0.0,11745,9060,68.9,0.0,9060,7190,54.7,0.0,7190,6127,46.6,0.0,6127
stable-diffusion-webui,medium,2,flexible,24010,0,24010,0.0,none,24010,100.0,0.0,24010,23129,96.3,0.0,23129,20872,86.9,0.0,20872,15435,64.3,0.0,15435,11998,50.0,0.0,11998
yt-dlp,large,44,single,64146,0,64146,0.0,none,64146,100.0,100.0,64146,48101,75.0,100.0,48101,24093,37.6,100.0,24093,17268,26.9,100.0,17268,13361,20.8,100.0,13361
yt-dlp,large,13,multi,70599,0,70599,0.0,none,70599,100.0,100.0,70599,56089,79.4,100.0,56089,31698,44.9,100.0,31698,22862,32.4,100.0,22862,17295,24.5,100.0,17295
yt-dlp,large,0,flexible,83309,0,83309,0.0,none,83309,100.0,100.0,83309,81466,97.8,100.0,81466,58207,69.9,100.0,58207,38539,46.3,100.0,38539,26098,31.3,100.0,26098
keras,large,26,single,20385,0,20385,0.0,none,20385,100.0,100.0,20385,20385,100.0,100.0,20385,20321,99.7,100.0,20321,19189,94.1,0.0,19189,16784,82.3,0.0,16784
keras,large,12,multi,24830,0,24830,0.0,none,24830,100.0,71.4,24830,24830,100.0,71.4,24830,23205,93.5,71.4,23205,22751,91.6,57.1,22751,20401,82.2,42.9,20401
keras,large,22,flexible,13591,0,13591,0.0,none,13591,100.0,0.0,13591,13533,99.6,0.0,13533,13415,98.7,0.0,13415,12575,92.5,0.0,12575,11366,83.6,0.0,11366
scikit-learn,large,12,single,79483,28558,50924,35.9,tests,79483,100.0,100.0,50924,78300,98.5,100.0,50266,76055,95.7,100.0,48635,70946,89.3,100.0,46798,61869,77.8,100.0,42192
scikit-learn,large,18,multi,118152,45491,72661,38.5,tests,118152,100.0,93.3,72661,116244,98.4,93.3,71349,110995,93.9,93.3,67739,103679,87.8,93.3,63747,94389,79.9,93.3,59188
scikit-learn,large,29,flexible,108302,36322,71980,33.5,tests,108302,100.0,100.0,71980,107279,99.1,100.0,71464,102480,94.6,100.0,68173,97255,89.8,100.0,64537,88279,81.5,0.0,59706
localstack,large,23,single,4769,0,4769,0.0,none,4769,100.0,100.0,4769,4719,99.0,100.0,4719,4074,85.4,100.0,4074,2193,46.0,100.0,2193,1579,33.1,0.0,1579
localstack,large,33,multi,13513,0,13513,0.0,none,13513,100.0,100.0,13513,13133,97.2,100.0,13133,12707,94.0,100.0,12707,11953,88.5,100.0,11953,10374,76.8,100.0,10374
localstack,large,30,flexible,34058,0,34058,0.0,none,34058,100.0,100.0,34058,29341,86.1,100.0,29341,27364,80.3,50.0,27364,23688,69.6,50.0,23688,21712,63.8,50.0,21712
pandas,large,3,single,267759,164232,103526,61.3,tests,267759,100.0,100.0,103526,260393,97.2,100.0,103144,244384,91.3,100.0,102116,223711,83.5,100.0,99720,191583,71.6,100.0,92236
pandas,large,26,multi,134964,60719,74244,45.0,tests,134964,100.0,66.7,74244,134496,99.7,66.7,74244,132828,98.4,66.7,73475,129142,95.7,66.7,71890,122910,91.1,66.7,67373
pandas,large,1,flexible,302661,190100,112561,62.8,tests,302661,100.0,100.0,112561,294597,97.3,100.0,110791,277337,91.6,100.0,109950,245532,81.1,100.0,106919,208382,68.8,100.0,100655
