f1,success,precision,recall,map_condition,submission_mode,model_short,log_codebase_size,codebase_size,issue_id,repo,issue_idx,rep,turns_used,hit_turn_cap,total_input_tokens,total_output_tokens,total_cost,wall_time_seconds
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,8.899457906353966,7328,flask/3,flask,3,1,9,0,42156,786,0.002048,4.57
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.899457906353966,7328,flask/3,flask,3,2,30,1,122535,4830,0.002495,25.48
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,8.899457906353966,7328,flask/3,flask,3,3,19,0,194381,1944,0.005935,20.05
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,8.827468112520654,6819,flask/6,flask,6,1,5,0,19683,432,0.001078,2.72
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,8.827468112520654,6819,flask/6,flask,6,2,7,0,24955,877,0.00089,6.98
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,8.827468112520654,6819,flask/6,flask,6,3,6,0,18168,480,0.000747,6.35
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,1,10,0,27330,1151,0.001039,6.02
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,2,7,0,17291,886,0.00055,4.52
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,3,13,0,61381,2140,0.001882,24.07
0.4,0,1.0,0.25,structural,voluntary,ministral_3b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,1,7,0,23413,1136,0.000877,7.1
0.4,0,1.0,0.25,structural,voluntary,ministral_3b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,2,11,0,44249,2518,0.001716,18.61
0.4,0,1.0,0.25,structural,voluntary,ministral_3b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,3,9,0,31759,1297,0.001255,7.01
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,1,16,0,88996,2804,0.002464,14.35
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,2,14,0,55005,1536,0.001403,10.48
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,3,13,0,46877,2131,0.001376,10.9
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.196231790580173,26802,keras/12,keras,12,1,14,0,47351,2249,0.001873,10.91
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.196231790580173,26802,keras/12,keras,12,2,13,0,50974,2179,0.001525,11.76
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.196231790580173,26802,keras/12,keras,12,3,12,0,48341,1971,0.001287,9.66
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.349134450277123,31230,keras/5,keras,5,1,19,0,294546,2110,0.007858,17.1
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.349134450277123,31230,keras/5,keras,5,2,9,0,56493,1856,0.002425,8.99
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.349134450277123,31230,keras/5,keras,5,3,30,1,62095,1169,0.001142,10.93
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.444153492313001,34343,keras/9,keras,9,1,11,0,66605,1481,0.002443,10.18
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.444153492313001,34343,keras/9,keras,9,2,9,0,74002,2073,0.002009,9.83
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.444153492313001,34343,keras/9,keras,9,3,11,0,86334,1206,0.002775,7.82
0.1667,0,0.2,0.1429,structural,voluntary,ministral_3b,9.61953186182516,15056,localstack/19,localstack,19,1,18,0,341378,85619,0.016376,448.27
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,9.61953186182516,15056,localstack/19,localstack,19,2,10,0,17864,954,0.000511,7.67
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,9.61953186182516,15056,localstack/19,localstack,19,3,13,0,80458,1802,0.003007,10.28
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.563155506021905,38683,localstack/2,localstack,2,1,26,0,357303,2931,0.007246,19.58
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.563155506021905,38683,localstack/2,localstack,2,2,26,0,426160,2298,0.008113,21.87
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.563155506021905,38683,localstack/2,localstack,2,3,18,0,174547,1912,0.003972,21.13
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.860214640302662,19153,localstack/9,localstack,9,1,17,0,147467,2573,0.003864,14.21
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.860214640302662,19153,localstack/9,localstack,9,2,11,0,61932,1362,0.002228,8.3
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.860214640302662,19153,localstack/9,localstack,9,3,18,0,127462,1920,0.003112,12.58
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,11.189312196300184,72353,pandas/26,pandas,26,1,16,0,151978,1453,0.004261,10.44
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,11.189312196300184,72353,pandas/26,pandas,26,2,16,0,152570,1257,0.004289,11.85
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,11.189312196300184,72353,pandas/26,pandas,26,3,20,0,142800,1453,0.004034,11.81
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,11.270446177349276,78468,pandas/35,pandas,35,1,26,0,571576,2650,0.011446,20.91
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,11.270446177349276,78468,pandas/35,pandas,35,2,18,0,279869,1956,0.007735,16.27
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,11.270446177349276,78468,pandas/35,pandas,35,3,26,0,209262,2529,0.004924,21.01
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,12.08721590866289,177587,pandas/38,pandas,38,1,18,0,353220,1959,0.009437,17.01
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,12.08721590866289,177587,pandas/38,pandas,38,2,9,0,85746,1848,0.004912,11.74
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,12.08721590866289,177587,pandas/38,pandas,38,3,12,0,169875,1765,0.00652,11.87
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.883015959814806,53264,pandas/44,pandas,44,1,26,0,405274,2698,0.007666,18.41
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.883015959814806,53264,pandas/44,pandas,44,2,19,0,64826,2599,0.001455,14.09
0.5,0,0.5,0.5,structural,voluntary,ministral_3b,10.883015959814806,53264,pandas/44,pandas,44,3,25,0,305071,3360,0.006179,20.93
0.5,0,1.0,0.3333,structural,voluntary,ministral_3b,9.346705246496699,11461,requests/12,requests,12,1,11,0,23142,844,0.000682,5.19
0.5,0,1.0,0.3333,structural,voluntary,ministral_3b,9.346705246496699,11461,requests/12,requests,12,2,10,0,25172,766,0.000624,5.39
0.5,0,1.0,0.3333,structural,voluntary,ministral_3b,9.346705246496699,11461,requests/12,requests,12,3,13,0,46626,975,0.001373,10.15
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.348274558065496,11479,requests/13,requests,13,1,7,0,23764,1018,0.000958,4.98
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,9.348274558065496,11479,requests/13,requests,13,2,15,0,25534,1175,0.000597,7.31
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.348274558065496,11479,requests/13,requests,13,3,26,0,133382,1891,0.003436,17.26
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,7.958576903813898,2860,requests/7,requests,7,1,7,0,24879,1215,0.001089,5.61
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,7.958576903813898,2860,requests/7,requests,7,2,12,0,60574,1527,0.00189,8.94
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,7.958576903813898,2860,requests/7,requests,7,3,20,0,51983,1281,0.001444,9.97
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.031000872835088,22720,rich/1,rich,1,1,6,0,19192,548,0.000741,3.32
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.031000872835088,22720,rich/1,rich,1,2,5,0,32264,452,0.001371,3.31
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.031000872835088,22720,rich/1,rich,1,3,6,0,53820,853,0.001643,6.57
0.4,0,1.0,0.25,structural,voluntary,ministral_3b,10.051648903516648,23194,rich/12,rich,12,1,10,0,69006,1853,0.002386,9.15
0.4,0,1.0,0.25,structural,voluntary,ministral_3b,10.051648903516648,23194,rich/12,rich,12,2,16,0,141952,2531,0.004057,17.69
0.4,0,1.0,0.25,structural,voluntary,ministral_3b,10.051648903516648,23194,rich/12,rich,12,3,21,0,267706,3465,0.006358,24.8
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.039939675671627,22924,rich/8,rich,8,1,9,0,43539,1207,0.001479,8.17
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,10.039939675671627,22924,rich/8,rich,8,2,9,0,39066,934,0.001293,8.04
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.039939675671627,22924,rich/8,rich,8,3,12,0,70448,1078,0.002303,9.62
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,11.620954417182327,111408,scikit-learn/45,scikit-learn,45,1,13,0,30082,708,0.000913,5.14
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,11.620954417182327,111408,scikit-learn/45,scikit-learn,45,2,22,0,213669,2236,0.004656,17.9
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,11.620954417182327,111408,scikit-learn/45,scikit-learn,45,3,11,0,34584,1300,0.001227,9.82
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,11.55076060327325,103856,scikit-learn/49,scikit-learn,49,1,5,0,28742,425,0.001442,2.74
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,11.55076060327325,103856,scikit-learn/49,scikit-learn,49,2,7,0,59135,445,0.002778,3.95
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,11.55076060327325,103856,scikit-learn/49,scikit-learn,49,3,9,0,117287,783,0.005471,6.82
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,11.525654110946952,101281,scikit-learn/5,scikit-learn,5,1,13,0,75874,896,0.003334,8.32
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,11.525654110946952,101281,scikit-learn/5,scikit-learn,5,2,7,0,23926,677,0.000813,4.78
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,11.525654110946952,101281,scikit-learn/5,scikit-learn,5,3,13,0,57815,1083,0.002031,7.97
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.796458979777604,17970,scrapy/20,scrapy,20,1,6,0,18969,479,0.00077,7.02
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.796458979777604,17970,scrapy/20,scrapy,20,2,8,0,42881,505,0.002081,4.49
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.796458979777604,17970,scrapy/20,scrapy,20,3,9,0,35138,614,0.001421,4.76
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.655026193237628,15600,scrapy/26,scrapy,26,1,13,0,84626,1497,0.002334,8.85
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.655026193237628,15600,scrapy/26,scrapy,26,2,13,0,66113,1383,0.001969,9.39
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,9.655026193237628,15600,scrapy/26,scrapy,26,3,13,0,82079,1064,0.002554,8.41
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,9.73477299914839,16895,scrapy/48,scrapy,48,1,26,0,126197,2009,0.002683,16.16
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,9.73477299914839,16895,scrapy/48,scrapy,48,2,28,0,55620,1458,0.001054,12.17
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,9.73477299914839,16895,scrapy/48,scrapy,48,3,24,0,155702,2601,0.003953,17.24
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.961803629358965,21201,stable-diffusion-webui/0,stable-diffusion-webui,0,1,7,0,130827,1489,0.004764,8.53
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.961803629358965,21201,stable-diffusion-webui/0,stable-diffusion-webui,0,2,9,0,156268,1489,0.004797,9.08
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,9.961803629358965,21201,stable-diffusion-webui/0,stable-diffusion-webui,0,3,6,0,101850,968,0.004199,7.34
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,9.908425341565751,20099,stable-diffusion-webui/13,stable-diffusion-webui,13,1,7,0,113773,4221,0.005129,19.13
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,9.908425341565751,20099,stable-diffusion-webui/13,stable-diffusion-webui,13,2,9,0,137486,1591,0.004577,12.3
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,9.908425341565751,20099,stable-diffusion-webui/13,stable-diffusion-webui,13,3,15,0,305403,3165,0.009049,18.41
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.028797743501574,22670,stable-diffusion-webui/5,stable-diffusion-webui,5,1,18,0,126968,2132,0.003429,15.52
0.5,0,0.5,0.5,structural,voluntary,ministral_3b,10.028797743501574,22670,stable-diffusion-webui/5,stable-diffusion-webui,5,2,18,0,123902,1873,0.003258,16.04
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,10.028797743501574,22670,stable-diffusion-webui/5,stable-diffusion-webui,5,3,16,0,62230,1630,0.002193,15.86
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.483636407887394,4835,thefuck/10,thefuck,10,1,10,0,31419,1401,0.001347,9.54
0.5,0,1.0,0.3333,structural,voluntary,ministral_3b,8.483636407887394,4835,thefuck/10,thefuck,10,2,9,0,33217,1274,0.001468,8.38
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.483636407887394,4835,thefuck/10,thefuck,10,3,26,0,50676,1057,0.000957,10.1
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.270781013162674,3908,thefuck/20,thefuck,20,1,12,0,39397,1487,0.001347,8.4
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,8.270781013162674,3908,thefuck/20,thefuck,20,2,12,0,51331,2498,0.00157,12.71
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.270781013162674,3908,thefuck/20,thefuck,20,3,6,0,13666,1266,0.000618,13.18
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,7.822845290279774,2497,thefuck/5,thefuck,5,1,12,0,37745,1238,0.001479,9.85
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,7.822845290279774,2497,thefuck/5,thefuck,5,2,9,0,41448,1818,0.001205,10.57
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,7.822845290279774,2497,thefuck/5,thefuck,5,3,7,0,17421,1177,0.000846,8.2
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,12.430331574579306,250279,transformers/25,transformers,25,1,21,0,176560,1072,0.004964,12.35
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,12.430331574579306,250279,transformers/25,transformers,25,2,12,0,211947,1249,0.01041,10.85
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,12.430331574579306,250279,transformers/25,transformers,25,3,10,0,114911,972,0.003755,10.49
0.1538,0,1.0,0.0833,structural,voluntary,ministral_3b,12.407424472605875,244611,transformers/27,transformers,27,1,4,0,13256,458,0.000634,2.85
0.1538,0,1.0,0.0833,structural,voluntary,ministral_3b,12.407424472605875,244611,transformers/27,transformers,27,2,7,0,23396,670,0.000863,4.31
0.1538,0,1.0,0.0833,structural,voluntary,ministral_3b,12.407424472605875,244611,transformers/27,transformers,27,3,5,0,16188,531,0.000612,2.88
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,11.587420505060633,107734,transformers/5,transformers,5,1,1,0,1631,1147,0.000186,9.01
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,11.587420505060633,107734,transformers/5,transformers,5,2,26,0,77605,2225,0.001463,14.63
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,11.587420505060633,107734,transformers/5,transformers,5,3,16,0,46256,2169,0.001306,11.46
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,12.095096391086711,178992,yt-dlp/23,yt-dlp,23,1,6,0,40530,1073,0.001868,5.47
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,12.095096391086711,178992,yt-dlp/23,yt-dlp,23,2,11,0,117253,2589,0.004243,15.09
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,12.095096391086711,178992,yt-dlp/23,yt-dlp,23,3,8,0,31390,1474,0.001247,9.15
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,12.1489730534896,188900,yt-dlp/41,yt-dlp,41,1,13,0,178389,2104,0.005469,12.2
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,12.1489730534896,188900,yt-dlp/41,yt-dlp,41,2,11,0,174095,3028,0.006757,25.23
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,12.1489730534896,188900,yt-dlp/41,yt-dlp,41,3,26,0,387037,2660,0.008246,28.87
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,12.198660241414718,198523,yt-dlp/45,yt-dlp,45,1,11,0,207670,3147,0.006993,16.78
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,12.198660241414718,198523,yt-dlp/45,yt-dlp,45,2,10,0,110517,2345,0.004317,11.71
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,12.198660241414718,198523,yt-dlp/45,yt-dlp,45,3,9,0,126827,2632,0.00502,14.63
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,12.068688124847148,174327,core/16,core,16,1,13,0,79807,5121,0.007584,42.84
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,12.068688124847148,174327,core/16,core,16,2,10,0,58013,3972,0.006139,37.61
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,12.068688124847148,174327,core/16,core,16,3,10,0,47411,4088,0.005598,56.05
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,11.506545154005941,99364,core/20,core,20,1,10,0,42583,2748,0.004659,20.41
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,11.506545154005941,99364,core/20,core,20,2,13,0,47169,3118,0.004041,35.33
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,11.506545154005941,99364,core/20,core,20,3,11,0,46488,2984,0.004012,39.14
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,8.579980179515003,5324,fastapi/17,fastapi,17,1,26,0,253653,13466,0.019881,138.07
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,8.579980179515003,5324,fastapi/17,fastapi,17,2,30,1,271878,9438,0.016076,102.67
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,8.579980179515003,5324,fastapi/17,fastapi,17,3,27,0,202572,9627,0.01365,107.65
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,8.518991573357617,5009,fastapi/20,fastapi,20,1,11,0,28782,3401,0.003324,25.23
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,8.518991573357617,5009,fastapi/20,fastapi,20,2,14,0,59532,4524,0.006399,32.98
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,8.518991573357617,5009,fastapi/20,fastapi,20,3,7,0,17173,1807,0.001882,25.8
0.5,0,1.0,0.3333,structural,voluntary,gpt_oss_120b,8.482187582217422,4828,fastapi/9,fastapi,9,1,5,0,29611,1472,0.003584,13.89
0.5,0,1.0,0.3333,structural,voluntary,gpt_oss_120b,8.482187582217422,4828,fastapi/9,fastapi,9,2,11,0,68600,2553,0.005267,40.0
0.5,0,1.0,0.3333,structural,voluntary,gpt_oss_120b,8.482187582217422,4828,fastapi/9,fastapi,9,3,7,0,33819,1805,0.003734,13.73
0.6667,0,1.0,0.5,structural,voluntary,gpt_oss_120b,8.808369153122275,6690,flask/18,flask,18,1,15,0,178565,4211,0.010509,48.88
0.6667,0,1.0,0.5,structural,voluntary,gpt_oss_120b,8.808369153122275,6690,flask/18,flask,18,2,20,0,249045,8827,0.016873,101.22
0.6667,0,1.0,0.5,structural,voluntary,gpt_oss_120b,8.808369153122275,6690,flask/18,flask,18,3,14,0,125555,2948,0.008787,38.22
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,8.899457906353966,7328,flask/3,flask,3,1,7,0,24727,2518,0.00336,17.79
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,8.899457906353966,7328,flask/3,flask,3,2,7,0,39247,1142,0.003729,14.0
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,8.899457906353966,7328,flask/3,flask,3,3,17,0,197449,5362,0.011938,51.92
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,8.827468112520654,6819,flask/6,flask,6,1,11,0,43643,2521,0.004699,23.8
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,8.827468112520654,6819,flask/6,flask,6,2,12,0,45865,5364,0.005272,46.5
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,8.827468112520654,6819,flask/6,flask,6,3,26,0,211651,14300,0.017628,123.02
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,1,11,0,90116,3414,0.007564,40.84
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,2,28,0,362623,14474,0.020631,154.79
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,3,14,0,80517,2243,0.006467,33.05
0.4,0,1.0,0.25,structural,voluntary,gpt_oss_120b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,1,10,0,44299,3454,0.005191,29.53
0.4,0,1.0,0.25,structural,voluntary,gpt_oss_120b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,2,22,0,145068,8647,0.01204,94.26
0.4,0,1.0,0.25,structural,voluntary,gpt_oss_120b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,3,7,0,28363,2289,0.002615,15.06
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,1,11,0,69657,8468,0.009066,74.02
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,2,14,0,86781,8180,0.009681,70.08
0.6667,1,0.5,1.0,structural,voluntary,gpt_oss_120b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,3,14,0,77896,6162,0.007812,53.23
0.2857,0,0.5,0.2,structural,voluntary,gpt_oss_120b,10.196231790580173,26802,keras/12,keras,12,1,6,0,26570,2398,0.004024,21.48
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,10.196231790580173,26802,keras/12,keras,12,2,4,0,8637,1173,0.001615,14.76
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,10.196231790580173,26802,keras/12,keras,12,3,7,0,17516,1416,0.002199,17.58
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,10.349134450277123,31230,keras/5,keras,5,1,7,0,30770,6589,0.005829,47.86
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,10.349134450277123,31230,keras/5,keras,5,2,19,0,109750,8131,0.010262,67.88
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,10.349134450277123,31230,keras/5,keras,5,3,8,0,25525,4966,0.004783,50.07
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,10.444153492313001,34343,keras/9,keras,9,1,17,0,65267,3887,0.00525,33.97
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,10.444153492313001,34343,keras/9,keras,9,2,10,0,32130,1968,0.002846,20.61
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,10.444153492313001,34343,keras/9,keras,9,3,3,0,8931,1358,0.001663,25.66
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,9.61953186182516,15056,localstack/19,localstack,19,1,18,0,34453,3312,0.00337,30.75
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,9.61953186182516,15056,localstack/19,localstack,19,2,11,0,16385,1716,0.001652,13.71
0.0,0,0.0,0.0,structural,voluntary,gpt_oss_120b,9.61953186182516,15056,localstack/19,localstack,19,3,20,0,39642,3453,0.003586,43.68
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,10.563155506021905,38683,localstack/2,localstack,2,1,23,0,236848,5868,0.012808,54.73
1.0,1,1.0,1.0,structural,voluntary,gpt_oss_120b,10.563155506021905,38683,localstack/2,localstack,2,2,30,1,308918,7656,0.015642,85.09
