repo,language,loc,size
youtube-dl,.py,150327.0,large
PaddleOCR,.py,98917.0,large
ChatGLM-6B,.py,4693.0,small
llama,.py,985.0,small
LLaMA-Factory,.py,46418.0,medium
DeepSeek-V3,.py,1204.0,small
scikit-learn,.sh,1063.0,large
localstack,.sh,523.0,large
transformers,.sh,101.0,large
gpt-engineer,.sh,13.0,small
stable-diffusion-webui,.sh,324.0,medium
core,.sh,61.0,large
AutoGPT,.sh,279.0,large
yt-dlp,.sh,79.0,large
keras,.sh,20.0,large
scrapy,.sh,6.0,medium
fastapi,.sh,30.0,large
ansible,.sh,6039.0,large
text-generation-webui,.sh,213.0,medium
thefuck,.sh,3.0,medium
OpenHands,.sh,118.0,large
cpython,.sh,600.0,large
MetaGPT,.sh,616.0,medium
yolov5,.sh,263.0,medium
langflow,.sh,1170.0,small
pytorch,.sh,2109.0,large
hackingtool,.sh,163.0,small
open-interpreter,.sh,133.0,medium
gpt4free,.sh,516.0,medium
Fooocus,.sh,26.0,medium
odoo,.sh,670.0,large
youtube-dl,.sh,179.0,large
PaddleOCR,.sh,5016.0,large
ChatGLM-6B,.sh,115.0,small
llama,.sh,61.0,small
LLaMA-Factory,.sh,46.0,medium
scikit-learn,.js,313.0,large
localstack,.js,626.0,large
stable-diffusion-webui,.js,4173.0,medium
core,.js,48.0,large
screenshot-to-code,.js,93.0,medium
AutoGPT,.js,4102.0,large
yt-dlp,.js,386.0,large
fastapi,.js,537.0,large
text-generation-webui,.js,3193.0,medium
OpenHands,.js,346.0,large
cpython,.js,3185.0,large
MetaGPT,.js,1000.0,medium
langflow,.js,1643.0,small
pytorch,.js,5044.0,large
Fooocus,.js,1404.0,medium
gpt_academic,.js,8089.0,medium
odoo,.js,1155076.0,large
PaddleOCR,.js,269.0,large
LLaMA-Factory,.js,78.0,medium
scikit-learn,.scss,585.0,large
odoo,.scss,62786.0,large
scikit-learn,.html,347.0,large
flask,.html,326.0,medium
localstack,.html,22.0,large
pandas,.html,8082.0,large
private-gpt,.html,11637.0,large
requests,.html,26.0,medium
gpt-engineer,.html,13.0,small
stable-diffusion-webui,.html,474.0,medium
screenshot-to-code,.html,216.0,medium
scrapy,.html,572.0,medium
fastapi,.html,124.0,large
cpython,.html,9315.0,large
MetaGPT,.html,165.0,medium
pytorch,.html,20.0,large
gpt4free,.html,469.0,medium
gpt_academic,.html,208.0,medium
odoo,.html,1531.0,large
PaddleOCR,.html,306.0,large
scikit-learn,.c,978.0,large
pandas,.c,8456.0,large
cpython,.c,580097.0,large
pytorch,.c,38395.0,large
PaddleOCR,.c,69.0,large
scikit-learn,.cpp,6007.0,large
pandas,.cpp,19.0,large
cpython,.cpp,4182.0,large
pytorch,.cpp,720033.0,large
PaddleOCR,.cpp,5058.0,large
scikit-learn,.h,335.0,large
pandas,.h,2144.0,large
cpython,.h,343458.0,large
pytorch,.h,349643.0,large
PaddleOCR,.h,3153.0,large
scikit-learn,.css,590.0,large
flask,.css,110.0,medium
pandas,.css,551.0,large
requests,.css,8.0,medium
stable-diffusion-webui,.css,1434.0,medium
screenshot-to-code,.css,184.0,medium
AutoGPT,.css,546.0,large
scrapy,.css,51.0,medium
fastapi,.css,496.0,large
text-generation-webui,.css,3378.0,medium
OpenHands,.css,588.0,large
cpython,.css,3335.0,large
langflow,.css,1195.0,small
pytorch,.css,76.0,large
open-interpreter,.css,20.0,medium
Fooocus,.css,355.0,medium
gpt_academic,.css,7926.0,medium
odoo,.css,11677.0,large
LLaMA-Factory,.css,44.0,medium
flask,.sql,24.0,medium
AutoGPT,.sql,6559.0,large
odoo,.sql,625.0,large
localstack,.ini,228.0,large
requests,.ini,15.0,medium
gpt-engineer,.ini,12.0,small
core,.ini,5607.0,large
screenshot-to-code,.ini,7.0,medium
scrapy,.ini,280.0,medium
ansible,.ini,364.0,large
thefuck,.ini,8.0,medium
OpenHands,.ini,231.0,large
cpython,.ini,248.0,large
MetaGPT,.ini,168.0,medium
face_recognition,.ini,22.0,small
rich,.ini,50.0,medium
sherlock,.ini,45.0,small
pytorch,.ini,305.0,large
ComfyUI,.ini,77.0,large
odoo,.ini,10.0,large
Deep-Live-Cam,.ini,7.0,small
youtube-dl,.ini,14.0,large
localstack,.cs,94.0,large
ansible,.cs,6050.0,large
localstack,.java,327.0,large
pytorch,.java,2339.0,large
PaddleOCR,.java,1305.0,large
localstack,.rb,30.0,large
localstack,.go,60.0,large
ansible,.go,75.0,large
PaddleOCR,.go,1515.0,large
localstack,.rs,48.0,large
screenshot-to-code,.ts,2255.0,medium
AutoGPT,.ts,55168.0,large
OpenHands,.ts,34795.0,large
cpython,.ts,35.0,large
MetaGPT,.ts,701.0,medium
langflow,.ts,13.0,small
odoo,.ts,3312.0,large
PaddleOCR,.ts,10202.0,large
screenshot-to-code,.tsx,9510.0,medium
AutoGPT,.tsx,120768.0,large
OpenHands,.tsx,74851.0,large
scrapy,.cfg,11.0,medium
manim,.cfg,64.0,medium
ansible,.cfg,548.0,large
text-generation-webui,.cfg,3.0,medium
thefuck,.cfg,2.0,medium
cpython,.cfg,9.0,large
face_recognition,.cfg,27.0,small
odoo,.cfg,33.0,large
youtube-dl,.cfg,5.0,large
ansible,.bash,62.0,large
