repo,tier,issue_idx,base_commit,commit_date,python_loc,n_source_files,file_type,body_len,title,source_files
transformers,large,3,da1d0d404f05523d37b37207a4c1ff419cc1f47f,2023-12-05,691267,9,multi,356,Add Mistral Models to Flax,"['utils/check_docstrings.py', 'src/transformers/__init__.py', 'src/transformers/utils/dummy_flax_objects.py', 'src/transformers/modeling_flax_utils.py', 'src/transformers/models/mpt/modeling_mpt.py', 'src/transformers/models/bloom/modeling_bloom.py', 'src/transformers/models/fuyu/image_processing_fuyu.py', 'src/transformers/models/auto/modeling_flax_auto.py', 'src/transformers/models/llama/__init__.py']"
transformers,large,4,147c8166852db64de12b851b8307f44c9e8fe0dd,2022-03-30,336800,1,single,2779,Add support for ONNX-TensorRT conversion for GPT-J6B (and possible bug in rotary embedding),['src/transformers/models/gptj/modeling_gptj.py']
transformers,large,5,eb3bd73ce35bfef56eeb722d697f2d39a06a8f8d,2020-11-10,107734,6,multi,1764,Need suggestion on contributing TFDPR,"['src/transformers/utils/dummy_pt_objects.py', 'src/transformers/utils/dummy_tf_objects.py', 'src/transformers/__init__.py', 'src/transformers/modeling_tf_auto.py', 'utils/check_repo.py', 'src/transformers/convert_pytorch_checkpoint_to_tf2.py']"
transformers,large,6,9bee9ff5db6e68fb31065898d7e924d07c1eb9c1,2024-10-29,846128,1,single,6188,[mask2former] torch.export error for Mask2Former,['src/transformers/models/mask2former/modeling_mask2former.py']
transformers,large,7,ba1b3db70907b975b5ca52b9957c5ed7a186a0fa,2021-09-01,244611,3,multi,2083,"kindly adding some documentations on t5-v1_1-base""""","['src/transformers/models/t5/modeling_flax_t5.py', 'src/transformers/models/t5/modeling_t5.py', 'src/transformers/models/t5/modeling_tf_t5.py']"
transformers,large,8,41750a6cff55e401364568868d619747de3db037,2020-04-27,44350,7,multi,50,How to fine tune EncoderDecoder model for training a new corpus of data ?,"['src/transformers/configuration_auto.py', 'src/transformers/__init__.py', 'src/transformers/modeling_auto.py', 'src/transformers/utils_encoder_decoder.py', 'src/transformers/modeling_utils.py', 'src/transformers/modeling_bert.py', 'src/transformers/modeling_encoder_decoder.py']"
transformers,large,9,6dda14dc47d82f0e32df05fea8ba6444ba52b90a,2022-11-10,481362,11,multi,8490,Push to Hub fails with `model_name`,"['src/transformers/models/clip/processing_clip.py', 'src/transformers/models/layoutlmv2/processing_layoutlmv2.py', 'src/transformers/models/vilt/processing_vilt.py', 'src/transformers/models/x_clip/processing_x_clip.py', 'src/transformers/models/markuplm/processing_markuplm.py', 'src/transformers/models/flava/processing_flava.py', 'src/transformers/processing_utils.py', 'src/transformers/models/owlvit/processing_owlvit.py', 'src/transformers/models/layoutlmv3/processing_layoutlmv3.py', 'src/transformers/models/vision_text_dual_encoder/processing_vision_text_dual_encoder.py', 'src/transformers/models/layoutxlm/processing_layoutxlm.py']"
transformers,large,10,a73883ae9ec66cb35a8222f204a5f2fafc326d3f,2023-06-08,610798,1,single,812,[Trainer] Why not use `tqdm`'s `dynamic_ncols=True` option?,['src/transformers/trainer_callback.py']
transformers,large,12,fa876aee2adf525b597495c10ad9c96896953dbd,2021-01-19,147825,4,multi,2666,SQuAD 2.0 metric not supported,"['examples/question-answering/run_qa.py', 'examples/question-answering/squad_v2_local/evaluate.py', 'examples/question-answering/squad_v2_local/squad_v2_local.py', 'examples/question-answering/run_qa_beam_search.py']"
transformers,large,13,02e05fb0a532e572b56ba75dad6ba3db625bbdeb,2021-01-08,141966,1,single,1811,Doc styling utils adds parasites new lines,['utils/style_doc.py']
transformers,large,14,0ee71188ff184ee5f8b70081665858301fe4afb1,2022-11-22,494870,1,single,975,some tokenizer(s) don't save the updated attributes,['src/transformers/tokenization_utils_base.py']
transformers,large,16,a8e3336a850e856188350a93e67d77c07c85b8af,2020-03-23,40257,7,multi,614,Expand run_lm_finetuning.py to all models,"['examples/run_squad.py', 'templates/adding_a_new_example_script/run_xxx.py', 'examples/run_glue.py', 'src/transformers/__init__.py', 'examples/ner/run_tf_ner.py', 'examples/run_language_modeling.py', 'examples/ner/run_ner.py']"
transformers,large,17,88d7f96e33c3f3e541bcdd913f2ff1e50aa18c1b,2020-06-26,57220,2,multi,925,BartConfig wrong decoder_start_token_id?,"['src/transformers/modeling_utils.py', 'src/transformers/modeling_tf_utils.py']"
transformers,large,18,b9af152efb748b1bff8f6fe0130e62ebb8e11a53,2023-02-07,550997,1,single,1478,Add XLM-V,['src/transformers/models/auto/configuration_auto.py']
transformers,large,19,b8378b658e9846e647d15a8fd85ad1421326b1e5,2023-12-18,707384,2,multi,2175,Can't do word timestamps and beam search at the same time (whisper),"['src/transformers/models/whisper/modeling_whisper.py', 'src/transformers/pipelines/automatic_speech_recognition.py']"
transformers,large,20,b231a413f5d58592bb4d98304c3d3b668c5d4a42,2020-06-02,49714,1,single,7256,--fp causes an issue when running example scripts in distributed mode,['src/transformers/training_args.py']
transformers,large,21,85a1269e19af022e04bc2aad82572cd5a9e8cdd9,2024-07-24,796683,1,single,11452,Bug in whisper word-level timestamps (`tokenizer._decode_asr`),['src/transformers/models/whisper/tokenization_whisper.py']
transformers,large,22,1681a6d452b60ff3652a96f03541dfa491124192,2024-03-04,732303,11,multi,1567,"[New Model] UDOP: Unifying Vision, Text, and Layout for Universal Document Processing","['src/transformers/utils/dummy_pt_objects.py', 'src/transformers/__init__.py', 'src/transformers/models/auto/tokenization_auto.py', 'src/transformers/models/__init__.py', 'src/transformers/models/auto/configuration_auto.py', '.circleci/create_circleci_config.py', 'src/transformers/utils/dummy_tokenizers_objects.py', 'src/transformers/convert_slow_tokenizer.py', 'src/transformers/models/auto/modeling_auto.py', 'src/transformers/utils/dummy_sentencepiece_objects.py', 'src/transformers/models/auto/image_processing_auto.py']"
transformers,large,23,4b423e607455a7aca1edc4beaa713da58e78ef0b,2023-10-17,659256,2,multi,1175,"StoppingCriteria ""scores"" is always None","['src/transformers/generation/utils.py', 'src/transformers/generation/stopping_criteria.py']"
transformers,large,24,88ac60f7b5f6d4b62245dc21653ea3d5db7d4935,2021-04-26,180757,17,multi,827,possible mistake in documentation,"['src/transformers/models/blenderbot/modeling_tf_blenderbot.py', 'src/transformers/models/marian/modeling_tf_marian.py', 'src/transformers/models/blenderbot/modeling_blenderbot.py', 'src/transformers/models/blenderbot_small/modeling_blenderbot_small.py', 'src/transformers/models/marian/modeling_marian.py', 'src/transformers/models/pegasus/modeling_tf_pegasus.py', 'src/transformers/models/bart/modeling_bart.py', 'src/transformers/models/mbart/modeling_tf_mbart.py', 'src/transformers/models/speech_to_text/modeling_speech_to_text.py', 'src/transformers/models/m2m_100/modeling_m2m_100.py', 'src/transformers/models/blenderbot_small/modeling_tf_blenderbot_small.py', 'src/transformers/models/t5/modeling_t5.py', 'src/transformers/models/prophetnet/modeling_prophetnet.py', 'src/transformers/models/mbart/modeling_mbart.py', 'src/transformers/models/bart/modeling_tf_bart.py', 'src/transformers/models/pegasus/modeling_pegasus.py', 'src/transformers/models/fsmt/modeling_fsmt.py']"
transformers,large,25,8bbb53e20b7873ba7f63be70d4d798e0c3568bfa,2021-09-30,250279,1,single,1448,"Tokenizer - Raises wrong ""UserWarning: `max_length` is ignored when `padding`=`True`""",['src/transformers/tokenization_utils_base.py']
transformers,large,26,010e0460b22ddd7f74e31163f69ab3da2e9741ba,2020-03-25,40265,2,multi,648,An Error report about pipeline,"['src/transformers/data/processors/squad.py', 'examples/utils_multiple_choice.py']"
transformers,large,27,ba1b3db70907b975b5ca52b9957c5ed7a186a0fa,2021-09-01,244611,12,multi,4340,t5 fast tokenizer save_vocabulary fails without sentencepiece file,"['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']"
transformers,large,28,edb314ae2ba4ac0e89d6a31d48037b8943978bff,2024-01-12,713601,1,single,6296,`contrastive-image-text/run_clip.py` example problems,['examples/pytorch/contrastive-image-text/run_clip.py']
transformers,large,29,6d00033e97e1751a897f2317fdfd35dd853cee29,2020-04-17,43013,5,multi,3045,run_glue.py RuntimeError: module must have its parameters and buffers on device cuda:0 (device_ids[0]) but found one of them on device: cuda:3,"['examples/mm-imdb/run_mmimdb.py', 'examples/run_multiple_choice.py', 'examples/run_xnli.py', 'examples/run_language_modeling.py', 'examples/ner/run_ner.py']"
transformers,large,30,43b9d93875cbf6756baf402a4720ca23d8c75015,2020-09-21,80918,1,single,1164,Some weights not initialized in pre-trained RobertaForMaskedLM,['src/transformers/modeling_roberta.py']
transformers,large,31,836e88caee95eb37a860a6c82bbd2becc6b9dc7b,2024-04-08,747156,7,multi,1619,SPDA/FA2 Attention for the Wav2Vec2 Family of Models,"['src/transformers/models/hubert/modeling_hubert.py', 'src/transformers/models/data2vec/modeling_data2vec_audio.py', 'src/transformers/models/unispeech_sat/modeling_unispeech_sat.py', 'src/transformers/models/wav2vec2_conformer/modeling_wav2vec2_conformer.py', 'src/transformers/models/wav2vec2/modeling_wav2vec2.py', 'src/transformers/models/unispeech/modeling_unispeech.py', 'src/transformers/models/sew/modeling_sew.py']"
transformers,large,32,95ffbe168690d34e385cdd16c69e9a3f8d877abf,2021-04-19,180020,2,multi,3091,serious bug with trainer.py when restarting the training from a checkpoint,"['src/transformers/configuration_utils.py', 'src/transformers/trainer.py']"
transformers,large,36,322037e842e5e89080918c824998c17722df6f19,2021-02-08,155374,1,single,2476,"Unclear error ""NotImplementedError:  ""while saving tokenizer. How fix it?",['src/transformers/tokenization_utils_fast.py']
transformers,large,38,1a688709b34b10bd372e3e0860c8d39d170ebf53,2022-05-12,355282,1,single,1431,a memory leak in qqp prediction using bart,['src/transformers/trainer.py']
transformers,large,39,cef2e40e0f8eaad13b8d32817a48fdddc32eb2a5,2024-01-10,713421,2,multi,727,Skip some weights for load_in_8bit and keep them as fp16/32?,"['src/transformers/modeling_utils.py', 'src/transformers/utils/quantization_config.py']"
transformers,large,41,45d21502f0b67eb8a5ad244d469dcc0dfb7517a7,2019-05-31,6711,1,single,357,Different Results from version 0.4.0 to version 0.5.0,['pytorch_pretrained_bert/modeling.py']
transformers,large,43,5bcbdff15922b1d0eeb035879630ca61c292122a,2024-08-13,805227,1,single,1384,RoBERTa config defaults are inconsistent with fairseq implementation,['src/transformers/models/roberta/configuration_roberta.py']
core,large,0,c3e9c1a7e8fdc949b8e638d79ab476507ff92f18,2021-11-21,534902,1,single,1742,Environment Canada (EC) radar integration slowing Environment Canada servers,['homeassistant/components/environment_canada/camera.py']
core,large,1,9e41a37284b8796bf3a190fe4bd2a4aee8616ec2,2021-09-01,508601,2,multi,2673,Rate limiting in Honeywell TCC,"['homeassistant/components/honeywell/__init__.py', 'homeassistant/components/honeywell/climate.py']"
core,large,2,8c8feb95a9c9048d655bc1eb263f6bc6ee61ee74,2020-05-19,357048,1,single,6408,Instructions don't result in homeassistant listening on any port,['homeassistant/components/google_assistant/helpers.py']
core,large,3,2b5e7c26111e447c2714284151c2e7555abd11e4,2020-06-19,366471,1,single,2042,Google assistant: something went wrong when using alarm,['homeassistant/components/google_assistant/trait.py']
core,large,5,faedba04079d2c999a479118b5189ef4c0bff060,2024-08-01,858501,3,multi,1491,Somfy blind motors cannot be assigned to a room,"['homeassistant/components/velux/light.py', 'homeassistant/components/velux/cover.py', 'homeassistant/components/velux/__init__.py']"
core,large,6,551a584ca69771804b6f094eceb67dcb25a2f627,2024-12-19,908199,3,multi,1286,Polling interval for stateless (e.g. Somfy (Oceania)) is not applied in Overkiz,"['homeassistant/components/overkiz/const.py', 'homeassistant/components/overkiz/__init__.py', 'homeassistant/components/overkiz/coordinator.py']"
core,large,7,7d71a2c979bc9ae300e177cbedb059a6133174b1,2020-04-29,342625,1,single,4452,homekit integration: work but error in log,['homeassistant/components/homekit/accessories.py']
core,large,8,acf41d03db6293b9897b8194f5530793de89952f,2020-03-20,329553,5,multi,1381,mopar component still does not work,"['homeassistant/components/mopar/sensor.py', '.coveragerc', 'homeassistant/components/mopar/__init__.py', 'homeassistant/components/mopar/lock.py', 'homeassistant/components/mopar/switch.py']"
core,large,10,832bc15daacfe1294538bb4a17600e4ada36a47e,2022-12-02,666836,3,multi,1989,Bug: Twinkly unavailable,"['homeassistant/components/twinkly/light.py', 'tests/components/twinkly/__init__.py', 'homeassistant/components/twinkly/const.py']"
core,large,14,b71a0c5d4bb22f1d7ec84e892cff851ad1d6f283,2021-08-13,499172,1,single,1753,Ambi Climate Integration not listing any Entities ,['homeassistant/components/ambiclimate/climate.py']
core,large,16,91962e2681dde1b23612df06633b16aa0867c950,2018-06-23,174327,1,single,186,Mysensor HVAC frontend shows multiple values,['homeassistant/components/climate/mysensors.py']
core,large,17,62054b84336e4d4a8a6a1ea649724e9eb86876b4,2020-09-23,399813,1,single,2472,Error while setting up denon platform for media_player with Marantz,['homeassistant/components/denon/media_player.py']
core,large,18,e11ead410bbd9179ded05ba5e07b6de9919ec0ea,2025-02-27,942456,2,multi,706,Gree climate does not update tha data (status),"['homeassistant/components/gree/coordinator.py', 'homeassistant/components/gree/const.py']"
core,large,19,80af2f4279828419a9112a5478029f2c506896e7,2021-09-01,509040,5,multi,1005,Sonos Alarm switch changes immediatly after click,"['homeassistant/components/sonos/alarms.py', 'homeassistant/components/sonos/household_coordinator.py', 'homeassistant/components/sonos/switch.py', 'homeassistant/components/sonos/speaker.py', 'homeassistant/components/sonos/favorites.py']"
core,large,20,f29e0bf53eec22dca65e3a62336cf84797e36bf2,2017-04-25,99364,1,single,5001,Problems sending push message with HTML5 notify,['homeassistant/components/notify/html5.py']
core,large,21,b9753a9f920f002312dc115534afdb422043007c,2022-12-13,669110,1,single,9463,Sony Bravia TV Integration:  Error setting up entry for homekit,['homeassistant/components/homekit/type_remotes.py']
core,large,22,185f7beafc05fc355109fd417350591459650366,2021-11-04,530203,1,single,4023,Error adding entities for domain sensor with platform octoprint when no tool0,['homeassistant/components/octoprint/sensor.py']
core,large,23,dbaca51bb3b7b0cea2acd5d3cc6fd1b7a396daf9,2021-01-24,429064,2,multi,450,Synology DSM CPU sensors report usage above 100%,"['homeassistant/components/synology_dsm/const.py', 'homeassistant/components/synology_dsm/sensor.py']"
core,large,24,ed3ebdfea52b222560ee6cae21c84f1e73df4d9a,2023-07-31,739121,1,single,2508,Error setting up entry Renault for renault,['homeassistant/components/renault/__init__.py']
core,large,25,0eae0cca2bf841f2c2cb87fc602bc8afa3557174,2021-06-21,482583,6,multi,2199,Met office componant does not provide future forecast data,"['homeassistant/components/metoffice/weather.py', 'homeassistant/components/metoffice/sensor.py', 'homeassistant/components/metoffice/const.py', 'homeassistant/components/metoffice/data.py', 'homeassistant/components/metoffice/config_flow.py', 'homeassistant/components/metoffice/__init__.py']"
