repo,issue_idx,role,ground_truth_original,n_original,ground_truth_scored_against,n_scored,excluded_by_source_filter,scored_but_unreachable_via_maps,n_unreachable
localstack,19,multi,localstack/constants.py;localstack/utils/persistence.py;localstack/services/ssm/ssm_listener.py;localstack/plugins.py;localstack/services/infra.py;localstack/services/secretsmanager/secretsmanager_starter.py;localstack/services/s3/s3_listener.py,7,localstack/constants.py;localstack/utils/persistence.py;localstack/services/ssm/ssm_listener.py;localstack/plugins.py;localstack/services/infra.py;localstack/services/secretsmanager/secretsmanager_starter.py;localstack/services/s3/s3_listener.py,7,,,0
pandas,26,extra,pandas/core/generic.py;pandas/tseries/index.py,2,pandas/core/generic.py;pandas/tseries/index.py,2,,,0
pandas,35,single,pandas/src/generate_code.py,1,pandas/src/generate_code.py,1,,,0
pandas,38,flexible,pandas/core/reshape/pivot.py;pandas/util/_exceptions.py,2,pandas/core/reshape/pivot.py;pandas/util/_exceptions.py,2,,,0
pandas,44,multi,pandas/tseries/index.py;pandas/core/indexing.py,2,pandas/tseries/index.py;pandas/core/indexing.py,2,,,0
requests,7,single,requests/cookies.py,1,requests/cookies.py,1,,,0
requests,12,multi,requests/sessions.py;requests/adapters.py;requests/api.py,3,requests/sessions.py;requests/adapters.py;requests/api.py,3,,,0
requests,13,flexible,requests/sessions.py,1,requests/sessions.py,1,,,0
rich,1,flexible,rich/console.py,1,rich/console.py,1,,,0
rich,8,single,rich/file_proxy.py,1,rich/file_proxy.py,1,,,0
rich,12,multi,rich/text.py;rich/syntax.py;rich/console.py;rich/markdown.py,4,rich/text.py;rich/syntax.py;rich/console.py;rich/markdown.py,4,,,0
scikit-learn,5,flexible,sklearn/decomposition/_pca.py,1,sklearn/decomposition/_pca.py,1,,,0
scikit-learn,45,multi,sklearn/decomposition/_truncated_svd.py;sklearn/_min_dependencies.py,2,sklearn/decomposition/_truncated_svd.py;sklearn/_min_dependencies.py,2,,,0
scikit-learn,49,single,sklearn/linear_model/_coordinate_descent.py,1,sklearn/linear_model/_coordinate_descent.py,1,,,0
scrapy,20,flexible,scrapy/settings/__init__.py,1,scrapy/settings/__init__.py,1,,,0
scrapy,26,single,scrapy/extensions/feedexport.py,1,scrapy/extensions/feedexport.py,1,,,0
scrapy,48,multi,scrapy/commands/shell.py;scrapy/utils/url.py,2,scrapy/commands/shell.py;scrapy/utils/url.py,2,,,0
stable-diffusion-webui,0,single,modules/styles.py,1,modules/styles.py,1,,,0
stable-diffusion-webui,5,multi,modules/shared_options.py;modules/ui_extra_networks.py;javascript/extraNetworks.js,3,modules/shared_options.py;modules/ui_extra_networks.py;javascript/extraNetworks.js,3,,javascript/extraNetworks.js,1
stable-diffusion-webui,13,flexible,modules/models/diffusion/ddpm_edit.py;extensions-builtin/LDSR/sd_hijack_ddpm_v1.py,2,modules/models/diffusion/ddpm_edit.py;extensions-builtin/LDSR/sd_hijack_ddpm_v1.py,2,,extensions-builtin/LDSR/sd_hijack_ddpm_v1.py,1
thefuck,5,single,thefuck/shells.py,1,thefuck/shells.py,1,,,0
thefuck,10,multi,thefuck/conf.py;thefuck/utils.py;thefuck/const.py,3,thefuck/conf.py;thefuck/utils.py;thefuck/const.py,3,,,0
thefuck,20,flexible,thefuck/shells/fish.py,1,thefuck/shells/fish.py,1,,,0
transformers,5,multi,src/transformers/utils/dummy_pt_objects.py;src/transformers/utils/dummy_tf_objects.py;src/transformers/__init__.py;src/transformers/modeling_tf_auto.py;utils/check_repo.py;src/transformers/convert_pytorch_checkpoint_to_tf2.py,6,src/transformers/utils/dummy_pt_objects.py;src/transformers/utils/dummy_tf_objects.py;src/transformers/__init__.py;src/transformers/modeling_tf_auto.py;utils/check_repo.py;src/transformers/convert_pytorch_checkpoint_to_tf2.py,6,,utils/check_repo.py,1
transformers,25,single,src/transformers/tokenization_utils_base.py,1,src/transformers/tokenization_utils_base.py,1,,,0
transformers,27,flexible,src/transformers/models/barthez/tokenization_barthez_fast.py;src/transformers/models/mbart50/tokenization_mbart50_fast.py;src/transformers/models/pegasus/tokenization_pegasus_fast.py;src/transformers/models/big_bird/tokenization_big_bird_fast.py;src/transformers/models/camembert/tokenization_camembert_fast.py;src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py;src/transformers/models/reformer/tokenization_reformer_fast.py;src/transformers/tokenization_utils_fast.py;src/transformers/models/herbert/tokenization_herbert_fast.py;src/transformers/models/xlnet/tokenization_xlnet_fast.py;src/transformers/models/albert/tokenization_albert_fast.py;src/transformers/models/t5/tokenization_t5_fast.py,12,src/transformers/models/barthez/tokenization_barthez_fast.py;src/transformers/models/mbart50/tokenization_mbart50_fast.py;src/transformers/models/pegasus/tokenization_pegasus_fast.py;src/transformers/models/big_bird/tokenization_big_bird_fast.py;src/transformers/models/camembert/tokenization_camembert_fast.py;src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py;src/transformers/models/reformer/tokenization_reformer_fast.py;src/transformers/tokenization_utils_fast.py;src/transformers/models/herbert/tokenization_herbert_fast.py;src/transformers/models/xlnet/tokenization_xlnet_fast.py;src/transformers/models/albert/tokenization_albert_fast.py;src/transformers/models/t5/tokenization_t5_fast.py,12,,,0
yt-dlp,23,flexible,yt_dlp/extractor/sportdeutschland.py,1,yt_dlp/extractor/sportdeutschland.py,1,,,0
yt-dlp,41,single,yt_dlp/options.py,1,yt_dlp/options.py,1,,,0
yt-dlp,45,multi,yt_dlp/__init__.py;yt_dlp/YoutubeDL.py,2,yt_dlp/__init__.py;yt_dlp/YoutubeDL.py,2,,,0
