repo,issue_idx,file_a,file_b,dir_distance,cochange_count,rank_of_b_in_a_list,a_total_partners,rank_of_a_in_b_list,b_total_partners
rich,12,rich/syntax.py,rich/console.py,0,46,1,65,7,71
rich,12,rich/syntax.py,rich/markdown.py,0,28,3,65,4,65
rich,12,rich/console.py,rich/markdown.py,0,49,5,71,1,65
scikit-learn,45,sklearn/decomposition/_truncated_svd.py,sklearn/_min_dependencies.py,1,0,never_cochanged,149,never_cochanged,0
scrapy,48,scrapy/commands/shell.py,scrapy/utils/url.py,2,1,64,64,23,82
transformers,5,src/transformers/utils/dummy_pt_objects.py,src/transformers/utils/dummy_tf_objects.py,0,1,120,121,22,22
transformers,5,src/transformers/utils/dummy_pt_objects.py,src/transformers/__init__.py,1,11,1,121,13,257
transformers,5,src/transformers/utils/dummy_pt_objects.py,src/transformers/modeling_tf_auto.py,1,0,never_cochanged,121,never_cochanged,233
transformers,5,src/transformers/utils/dummy_pt_objects.py,src/transformers/convert_pytorch_checkpoint_to_tf2.py,1,0,never_cochanged,121,never_cochanged,165
transformers,5,src/transformers/utils/dummy_tf_objects.py,src/transformers/__init__.py,1,4,1,22,103,257
transformers,5,src/transformers/utils/dummy_tf_objects.py,src/transformers/modeling_tf_auto.py,1,2,3,22,191,233
transformers,5,src/transformers/utils/dummy_tf_objects.py,src/transformers/convert_pytorch_checkpoint_to_tf2.py,1,1,5,22,164,165
transformers,5,src/transformers/__init__.py,src/transformers/modeling_tf_auto.py,0,16,5,257,4,233
transformers,5,src/transformers/__init__.py,src/transformers/convert_pytorch_checkpoint_to_tf2.py,0,14,7,257,1,165
transformers,5,src/transformers/modeling_tf_auto.py,src/transformers/convert_pytorch_checkpoint_to_tf2.py,0,10,21,233,4,165
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/models/mbart50/tokenization_mbart50_fast.py,2,0,never_cochanged,197,never_cochanged,18
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/models/pegasus/tokenization_pegasus_fast.py,2,5,6,197,7,331
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/models/big_bird/tokenization_big_bird_fast.py,2,1,105,197,8,35
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/models/camembert/tokenization_camembert_fast.py,2,6,2,197,5,328
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,2,6,3,197,5,329
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/models/reformer/tokenization_reformer_fast.py,2,4,12,197,11,327
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/tokenization_utils_fast.py,2,3,26,197,39,241
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/models/herbert/tokenization_herbert_fast.py,2,2,40,197,20,269
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/models/xlnet/tokenization_xlnet_fast.py,2,4,15,197,7,328
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/models/albert/tokenization_albert_fast.py,2,5,4,197,5,329
transformers,27,src/transformers/models/barthez/tokenization_barthez_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,4,13,197,13,326
transformers,27,src/transformers/models/mbart50/tokenization_mbart50_fast.py,src/transformers/models/pegasus/tokenization_pegasus_fast.py,2,0,never_cochanged,18,never_cochanged,331
transformers,27,src/transformers/models/mbart50/tokenization_mbart50_fast.py,src/transformers/models/big_bird/tokenization_big_bird_fast.py,2,0,never_cochanged,18,never_cochanged,35
transformers,27,src/transformers/models/mbart50/tokenization_mbart50_fast.py,src/transformers/models/camembert/tokenization_camembert_fast.py,2,0,never_cochanged,18,never_cochanged,328
transformers,27,src/transformers/models/mbart50/tokenization_mbart50_fast.py,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,2,0,never_cochanged,18,never_cochanged,329
transformers,27,src/transformers/models/mbart50/tokenization_mbart50_fast.py,src/transformers/models/reformer/tokenization_reformer_fast.py,2,0,never_cochanged,18,never_cochanged,327
transformers,27,src/transformers/models/mbart50/tokenization_mbart50_fast.py,src/transformers/tokenization_utils_fast.py,2,0,never_cochanged,18,never_cochanged,241
transformers,27,src/transformers/models/mbart50/tokenization_mbart50_fast.py,src/transformers/models/herbert/tokenization_herbert_fast.py,2,0,never_cochanged,18,never_cochanged,269
transformers,27,src/transformers/models/mbart50/tokenization_mbart50_fast.py,src/transformers/models/xlnet/tokenization_xlnet_fast.py,2,0,never_cochanged,18,never_cochanged,328
transformers,27,src/transformers/models/mbart50/tokenization_mbart50_fast.py,src/transformers/models/albert/tokenization_albert_fast.py,2,0,never_cochanged,18,never_cochanged,329
transformers,27,src/transformers/models/mbart50/tokenization_mbart50_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,0,never_cochanged,18,never_cochanged,326
transformers,27,src/transformers/models/pegasus/tokenization_pegasus_fast.py,src/transformers/models/big_bird/tokenization_big_bird_fast.py,2,1,180,331,25,35
transformers,27,src/transformers/models/pegasus/tokenization_pegasus_fast.py,src/transformers/models/camembert/tokenization_camembert_fast.py,2,6,2,331,6,328
transformers,27,src/transformers/models/pegasus/tokenization_pegasus_fast.py,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,2,6,5,331,7,329
transformers,27,src/transformers/models/pegasus/tokenization_pegasus_fast.py,src/transformers/models/reformer/tokenization_reformer_fast.py,2,6,3,331,3,327
transformers,27,src/transformers/models/pegasus/tokenization_pegasus_fast.py,src/transformers/tokenization_utils_fast.py,2,2,130,331,96,241
transformers,27,src/transformers/models/pegasus/tokenization_pegasus_fast.py,src/transformers/models/herbert/tokenization_herbert_fast.py,2,2,85,331,43,269
transformers,27,src/transformers/models/pegasus/tokenization_pegasus_fast.py,src/transformers/models/xlnet/tokenization_xlnet_fast.py,2,5,10,331,4,328
transformers,27,src/transformers/models/pegasus/tokenization_pegasus_fast.py,src/transformers/models/albert/tokenization_albert_fast.py,2,5,6,331,7,329
transformers,27,src/transformers/models/pegasus/tokenization_pegasus_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,6,4,331,6,326
transformers,27,src/transformers/models/big_bird/tokenization_big_bird_fast.py,src/transformers/models/camembert/tokenization_camembert_fast.py,2,1,12,35,187,328
transformers,27,src/transformers/models/big_bird/tokenization_big_bird_fast.py,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,2,1,31,35,179,329
transformers,27,src/transformers/models/big_bird/tokenization_big_bird_fast.py,src/transformers/models/reformer/tokenization_reformer_fast.py,2,1,26,35,183,327
transformers,27,src/transformers/models/big_bird/tokenization_big_bird_fast.py,src/transformers/tokenization_utils_fast.py,2,1,34,35,150,241
transformers,27,src/transformers/models/big_bird/tokenization_big_bird_fast.py,src/transformers/models/herbert/tokenization_herbert_fast.py,2,1,17,35,90,269
transformers,27,src/transformers/models/big_bird/tokenization_big_bird_fast.py,src/transformers/models/xlnet/tokenization_xlnet_fast.py,2,1,32,35,168,328
transformers,27,src/transformers/models/big_bird/tokenization_big_bird_fast.py,src/transformers/models/albert/tokenization_albert_fast.py,2,2,1,35,56,329
transformers,27,src/transformers/models/big_bird/tokenization_big_bird_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,1,29,35,184,326
transformers,27,src/transformers/models/camembert/tokenization_camembert_fast.py,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,2,8,1,328,1,329
transformers,27,src/transformers/models/camembert/tokenization_camembert_fast.py,src/transformers/models/reformer/tokenization_reformer_fast.py,2,7,4,328,1,327
transformers,27,src/transformers/models/camembert/tokenization_camembert_fast.py,src/transformers/tokenization_utils_fast.py,2,3,50,328,41,241
transformers,27,src/transformers/models/camembert/tokenization_camembert_fast.py,src/transformers/models/herbert/tokenization_herbert_fast.py,2,4,20,328,3,269
transformers,27,src/transformers/models/camembert/tokenization_camembert_fast.py,src/transformers/models/xlnet/tokenization_xlnet_fast.py,2,6,10,328,2,328
transformers,27,src/transformers/models/camembert/tokenization_camembert_fast.py,src/transformers/models/albert/tokenization_albert_fast.py,2,7,2,328,1,329
transformers,27,src/transformers/models/camembert/tokenization_camembert_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,6,8,328,4,326
transformers,27,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,src/transformers/models/reformer/tokenization_reformer_fast.py,2,6,8,329,5,327
transformers,27,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,src/transformers/tokenization_utils_fast.py,2,3,40,329,55,241
transformers,27,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,src/transformers/models/herbert/tokenization_herbert_fast.py,2,3,28,329,15,269
transformers,27,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,src/transformers/models/xlnet/tokenization_xlnet_fast.py,2,6,9,329,3,328
transformers,27,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,src/transformers/models/albert/tokenization_albert_fast.py,2,7,2,329,2,329
transformers,27,src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,5,14,329,10,326
transformers,27,src/transformers/models/reformer/tokenization_reformer_fast.py,src/transformers/tokenization_utils_fast.py,2,2,140,327,100,241
transformers,27,src/transformers/models/reformer/tokenization_reformer_fast.py,src/transformers/models/herbert/tokenization_herbert_fast.py,2,3,33,327,12,269
transformers,27,src/transformers/models/reformer/tokenization_reformer_fast.py,src/transformers/models/xlnet/tokenization_xlnet_fast.py,2,5,10,327,5,328
transformers,27,src/transformers/models/reformer/tokenization_reformer_fast.py,src/transformers/models/albert/tokenization_albert_fast.py,2,5,6,327,8,329
transformers,27,src/transformers/models/reformer/tokenization_reformer_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,7,2,327,3,326
transformers,27,src/transformers/tokenization_utils_fast.py,src/transformers/models/herbert/tokenization_herbert_fast.py,2,1,181,241,265,269
transformers,27,src/transformers/tokenization_utils_fast.py,src/transformers/models/xlnet/tokenization_xlnet_fast.py,2,2,115,241,116,328
transformers,27,src/transformers/tokenization_utils_fast.py,src/transformers/models/albert/tokenization_albert_fast.py,2,3,37,241,30,329
transformers,27,src/transformers/tokenization_utils_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,2,104,241,142,326
transformers,27,src/transformers/models/herbert/tokenization_herbert_fast.py,src/transformers/models/xlnet/tokenization_xlnet_fast.py,2,3,16,269,20,328
transformers,27,src/transformers/models/herbert/tokenization_herbert_fast.py,src/transformers/models/albert/tokenization_albert_fast.py,2,3,8,269,23,329
transformers,27,src/transformers/models/herbert/tokenization_herbert_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,4,6,269,17,326
transformers,27,src/transformers/models/xlnet/tokenization_xlnet_fast.py,src/transformers/models/albert/tokenization_albert_fast.py,2,6,1,328,3,329
transformers,27,src/transformers/models/xlnet/tokenization_xlnet_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,4,11,328,21,326
transformers,27,src/transformers/models/albert/tokenization_albert_fast.py,src/transformers/models/t5/tokenization_t5_fast.py,2,4,15,329,12,326
yt-dlp,45,yt_dlp/__init__.py,yt_dlp/YoutubeDL.py,0,99,2,994,3,1006
thefuck,10,thefuck/conf.py,thefuck/utils.py,0,9,2,23,2,107
thefuck,10,thefuck/conf.py,thefuck/const.py,0,6,4,23,1,28
thefuck,10,thefuck/utils.py,thefuck/const.py,0,2,53,107,13,28
stable-diffusion-webui,5,modules/shared_options.py,modules/ui_extra_networks.py,0,0,,35,,74
