repo,tier,issue_idx,role,n_gt_files,ground_truth,n_gt_files_pruned,gt_files_pruned,any_gt_pruned,n_files_pruned_total
stable-diffusion-webui,medium,13,flexible,2,modules/models/diffusion/ddpm_edit.py;extensions-builtin/LDSR/sd_hijack_ddpm_v1.py,0,,False,0
keras,medium,9,single,1,keras/utils/data_utils.py,0,,False,0
keras,medium,12,multi,5,keras/utils/data_utils.py;keras/utils/__init__.py;keras/legacy/interfaces.py;keras/engine/training.py;keras/models.py,0,,False,0
keras,medium,5,flexible,1,keras/engine/saving.py,0,,False,0
localstack,medium,2,single,1,localstack/services/s3/s3_listener.py,0,,False,72
localstack,medium,19,multi,7,localstack/constants.py;localstack/utils/persistence.py;localstack/services/ssm/ssm_listener.py;localstack/plugins.py;localstack/services/infra.py;localstack/services/secretsmanager/secretsmanager_starter.py;localstack/services/s3/s3_listener.py,0,,False,0
localstack,medium,9,flexible,1,localstack/services/s3/s3_listener.py,0,,False,0
yt-dlp,large,41,single,1,yt_dlp/options.py,0,,False,1038
yt-dlp,large,45,multi,2,yt_dlp/__init__.py;yt_dlp/YoutubeDL.py,0,,False,992
yt-dlp,large,23,flexible,1,yt_dlp/extractor/sportdeutschland.py,1,yt_dlp/extractor/sportdeutschland.py,True,989
pandas,large,35,single,1,pandas/src/generate_code.py,1,pandas/src/generate_code.py,True,82
pandas,large,44,multi,2,pandas/tseries/index.py;pandas/core/indexing.py,0,,False,0
pandas,large,38,flexible,2,pandas/core/reshape/pivot.py;pandas/util/_exceptions.py,2,pandas/core/reshape/pivot.py;pandas/util/_exceptions.py,True,218
scikit-learn,large,49,single,1,sklearn/linear_model/_coordinate_descent.py,0,,False,105
scikit-learn,large,45,multi,2,sklearn/decomposition/_truncated_svd.py;sklearn/_min_dependencies.py,1,sklearn/decomposition/_truncated_svd.py,True,122
scikit-learn,large,5,flexible,1,sklearn/decomposition/_pca.py,0,,False,95
transformers,large,25,single,1,src/transformers/tokenization_utils_base.py,0,,False,468
transformers,large,5,multi,6,src/transformers/utils/dummy_pt_objects.py;src/transformers/utils/dummy_tf_objects.py;src/transformers/__init__.py;src/transformers/modeling_tf_auto.py;utils/check_repo.py;src/transformers/convert_pytorch_checkpoint_to_tf2.py,4,src/transformers/utils/dummy_pt_objects.py;src/transformers/utils/dummy_tf_objects.py;src/transformers/modeling_tf_auto.py;src/transformers/convert_pytorch_checkpoint_to_tf2.py,True,228
transformers,large,27,flexible,12,src/transformers/models/barthez/tokenization_barthez_fast.py;src/transformers/models/mbart50/tokenization_mbart50_fast.py;src/transformers/models/pegasus/tokenization_pegasus_fast.py;src/transformers/models/big_bird/tokenization_big_bird_fast.py;src/transformers/models/camembert/tokenization_camembert_fast.py;src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py;src/transformers/models/reformer/tokenization_reformer_fast.py;src/transformers/tokenization_utils_fast.py;src/transformers/models/herbert/tokenization_herbert_fast.py;src/transformers/models/xlnet/tokenization_xlnet_fast.py;src/transformers/models/albert/tokenization_albert_fast.py;src/transformers/models/t5/tokenization_t5_fast.py,11,src/transformers/models/barthez/tokenization_barthez_fast.py;src/transformers/models/mbart50/tokenization_mbart50_fast.py;src/transformers/models/pegasus/tokenization_pegasus_fast.py;src/transformers/models/big_bird/tokenization_big_bird_fast.py;src/transformers/models/camembert/tokenization_camembert_fast.py;src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py;src/transformers/models/reformer/tokenization_reformer_fast.py;src/transformers/models/herbert/tokenization_herbert_fast.py;src/transformers/models/xlnet/tokenization_xlnet_fast.py;src/transformers/models/albert/tokenization_albert_fast.py;src/transformers/models/t5/tokenization_t5_fast.py,True,456
core,large,17,single,1,homeassistant/components/denon/media_player.py,1,homeassistant/components/denon/media_player.py,True,2582
core,large,8,multi,5,homeassistant/components/mopar/sensor.py;.coveragerc;homeassistant/components/mopar/__init__.py;homeassistant/components/mopar/lock.py;homeassistant/components/mopar/switch.py,4,homeassistant/components/mopar/sensor.py;homeassistant/components/mopar/__init__.py;homeassistant/components/mopar/lock.py;homeassistant/components/mopar/switch.py,True,2132
core,large,16,flexible,1,homeassistant/components/climate/mysensors.py,1,homeassistant/components/climate/mysensors.py,True,1127
