issue,model,outcome,condition,baseline,n_condition,n_baseline,condition_count,baseline_count,condition_rate,baseline_rate,odds_ratio,p_raw,p_holm
gpt-engineer/9,gpt-oss-120b,success,temporal_cochange_required,none,15,15,11,9,0.733,0.6,1.8333,0.6998500749625187,1.0
gpt-engineer/9,gpt-oss-120b,success,all_tools_required,none,15,15,12,9,0.8,0.6,2.6667,0.42698650674662664,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,ast_compact,none,15,15,9,6,0.6,0.4,2.25,0.4660922247854402,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,freq,none,15,15,7,6,0.467,0.4,1.3125,1.0,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,cochange,none,15,15,8,6,0.533,0.4,1.7143,0.7152491865522348,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,structural,none,15,15,3,6,0.2,0.4,0.375,0.42698650674662664,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,temporal_frequency,none,15,15,6,6,0.4,0.4,1.0,1.0,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,temporal_cochange,none,15,15,9,6,0.6,0.4,2.25,0.4660922247854402,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,all_tools,none,15,15,9,6,0.6,0.4,2.25,0.4660922247854402,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,structural_required,none,15,15,3,6,0.2,0.4,0.375,0.42698650674662664,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,temporal_frequency_required,none,15,15,6,6,0.4,0.4,1.0,1.0,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,temporal_cochange_required,none,15,15,4,6,0.267,0.4,0.5455,0.6998500749625187,1.0
gpt-engineer/9,gpt-oss-120b,complete_miss,all_tools_required,none,15,15,3,6,0.2,0.4,0.375,0.42698650674662664,1.0
gpt-engineer/9,ministral-3b,success,ast_compact,none,15,15,11,14,0.733,0.933,0.1964,0.32950191570881227,1.0
gpt-engineer/9,ministral-3b,success,freq,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
gpt-engineer/9,ministral-3b,success,cochange,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
gpt-engineer/9,ministral-3b,success,structural,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
gpt-engineer/9,ministral-3b,success,temporal_frequency,none,15,15,14,14,0.933,0.933,1.0,1.0,1.0
gpt-engineer/9,ministral-3b,success,temporal_cochange,none,15,15,14,14,0.933,0.933,1.0,1.0,1.0
gpt-engineer/9,ministral-3b,success,all_tools,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
gpt-engineer/9,ministral-3b,success,structural_required,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
gpt-engineer/9,ministral-3b,success,temporal_frequency_required,none,15,15,15,14,1.0,0.933,inf,1.0,1.0
gpt-engineer/9,ministral-3b,success,temporal_cochange_required,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
gpt-engineer/9,ministral-3b,success,all_tools_required,none,15,15,14,14,0.933,0.933,1.0,1.0,1.0
gpt-engineer/9,ministral-3b,complete_miss,ast_compact,none,15,15,4,1,0.267,0.067,5.0909,0.32950191570881227,1.0
gpt-engineer/9,ministral-3b,complete_miss,freq,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
gpt-engineer/9,ministral-3b,complete_miss,cochange,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
gpt-engineer/9,ministral-3b,complete_miss,structural,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
gpt-engineer/9,ministral-3b,complete_miss,temporal_frequency,none,15,15,1,1,0.067,0.067,1.0,1.0,1.0
gpt-engineer/9,ministral-3b,complete_miss,temporal_cochange,none,15,15,1,1,0.067,0.067,1.0,1.0,1.0
gpt-engineer/9,ministral-3b,complete_miss,all_tools,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
gpt-engineer/9,ministral-3b,complete_miss,structural_required,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
gpt-engineer/9,ministral-3b,complete_miss,temporal_frequency_required,none,15,15,0,1,0.0,0.067,0.0,1.0,1.0
gpt-engineer/9,ministral-3b,complete_miss,temporal_cochange_required,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
gpt-engineer/9,ministral-3b,complete_miss,all_tools_required,none,15,15,1,1,0.067,0.067,1.0,1.0,1.0
keras/5,nemotron-super,success,freq,none,15,15,13,5,0.867,0.333,13.0,0.007775059838501801,0.023325179515505404
keras/5,nemotron-super,success,temporal_frequency,none,15,15,5,5,0.333,0.333,1.0,1.0,1.0
keras/5,nemotron-super,success,all_tools_required,none,15,15,12,5,0.8,0.333,8.0,0.025327687033676136,0.05065537406735227
keras/5,nemotron-super,complete_miss,freq,none,15,15,2,10,0.133,0.667,0.0769,0.007775059838501802,0.023325179515505404
keras/5,nemotron-super,complete_miss,temporal_frequency,none,15,15,10,10,0.667,0.667,1.0,1.0,1.0
keras/5,nemotron-super,complete_miss,all_tools_required,none,15,15,3,10,0.2,0.667,0.125,0.025327687033676133,0.050655374067352266
keras/5,deepseek-flash,success,freq,none,15,15,5,10,0.333,0.667,0.25,0.1431109780507063,0.42933293415211893
keras/5,deepseek-flash,success,temporal_frequency,none,15,15,6,10,0.4,0.667,0.3333,0.27230347674459987,0.5446069534891997
keras/5,deepseek-flash,success,all_tools_required,none,15,15,10,10,0.667,0.667,1.0,1.0,1.0
keras/5,deepseek-flash,complete_miss,freq,none,15,15,10,5,0.667,0.333,4.0,0.1431109780507063,0.42933293415211893
keras/5,deepseek-flash,complete_miss,temporal_frequency,none,15,15,9,5,0.6,0.333,3.0,0.27230347674459987,0.5446069534891997
keras/5,deepseek-flash,complete_miss,all_tools_required,none,15,15,5,5,0.333,0.333,1.0,1.0,1.0
keras/5,gpt-oss-120b,success,freq,none,15,15,2,3,0.133,0.2,0.6154,1.0,1.0
keras/5,gpt-oss-120b,success,temporal_frequency,none,15,15,3,3,0.2,0.2,1.0,1.0,1.0
keras/5,gpt-oss-120b,success,all_tools_required,none,15,15,5,3,0.333,0.2,2.0,0.6816591704147925,1.0
keras/5,gpt-oss-120b,complete_miss,freq,none,15,15,13,12,0.867,0.8,1.625,1.0,1.0
keras/5,gpt-oss-120b,complete_miss,temporal_frequency,none,15,15,12,12,0.8,0.8,1.0,1.0,1.0
keras/5,gpt-oss-120b,complete_miss,all_tools_required,none,15,15,10,12,0.667,0.8,0.5,0.6816591704147925,1.0
keras/5,ministral-3b,success,freq,none,15,15,13,13,0.867,0.867,1.0,1.0,1.0
keras/5,ministral-3b,success,temporal_frequency,none,15,15,15,13,1.0,0.867,inf,0.4827586206896552,1.0
keras/5,ministral-3b,success,all_tools_required,none,15,15,12,13,0.8,0.867,0.6154,1.0,1.0
keras/5,ministral-3b,complete_miss,freq,none,15,15,2,2,0.133,0.133,1.0,1.0,1.0
keras/5,ministral-3b,complete_miss,temporal_frequency,none,15,15,0,2,0.0,0.133,0.0,0.4827586206896552,1.0
keras/5,ministral-3b,complete_miss,all_tools_required,none,15,15,3,2,0.2,0.133,1.625,1.0,1.0
localstack/2,deepseek-flash,success,ast_compact,none,15,15,14,14,0.933,0.933,1.0,1.0,1.0
localstack/2,deepseek-flash,success,cochange,none,15,15,15,14,1.0,0.933,inf,1.0,1.0
localstack/2,deepseek-flash,success,freq,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
localstack/2,deepseek-flash,success,structural,none,15,15,14,14,0.933,0.933,1.0,1.0,1.0
localstack/2,deepseek-flash,success,temporal_cochange,none,15,15,12,14,0.8,0.933,0.2857,0.5977011494252873,1.0
localstack/2,deepseek-flash,success,temporal_frequency,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
localstack/2,deepseek-flash,success,all_tools,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
localstack/2,deepseek-flash,success,structural_required,none,15,15,14,14,0.933,0.933,1.0,1.0,1.0
localstack/2,deepseek-flash,success,temporal_cochange_required,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
localstack/2,deepseek-flash,success,temporal_frequency_required,none,15,15,14,14,0.933,0.933,1.0,1.0,1.0
localstack/2,deepseek-flash,success,all_tools_required,none,15,15,13,14,0.867,0.933,0.4643,1.0,1.0
localstack/2,deepseek-flash,complete_miss,ast_compact,none,15,15,1,1,0.067,0.067,1.0,1.0,1.0
localstack/2,deepseek-flash,complete_miss,cochange,none,15,15,0,1,0.0,0.067,0.0,1.0,1.0
localstack/2,deepseek-flash,complete_miss,freq,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
localstack/2,deepseek-flash,complete_miss,structural,none,15,15,1,1,0.067,0.067,1.0,1.0,1.0
localstack/2,deepseek-flash,complete_miss,temporal_cochange,none,15,15,3,1,0.2,0.067,3.5,0.5977011494252875,1.0
localstack/2,deepseek-flash,complete_miss,temporal_frequency,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
localstack/2,deepseek-flash,complete_miss,all_tools,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
localstack/2,deepseek-flash,complete_miss,structural_required,none,15,15,1,1,0.067,0.067,1.0,1.0,1.0
localstack/2,deepseek-flash,complete_miss,temporal_cochange_required,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
localstack/2,deepseek-flash,complete_miss,temporal_frequency_required,none,15,15,1,1,0.067,0.067,1.0,1.0,1.0
localstack/2,deepseek-flash,complete_miss,all_tools_required,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
localstack/19,nemotron-super,success,ast_compact,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,nemotron-super,success,temporal_frequency,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,nemotron-super,success,all_tools_required,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,nemotron-super,complete_miss,ast_compact,none,15,15,14,15,0.933,1.0,0.0,1.0,1.0
localstack/19,nemotron-super,complete_miss,temporal_frequency,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/19,nemotron-super,complete_miss,all_tools_required,none,15,15,14,15,0.933,1.0,0.0,1.0,1.0
localstack/19,deepseek-flash,success,ast_compact,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,deepseek-flash,success,temporal_frequency,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,deepseek-flash,success,all_tools_required,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,deepseek-flash,complete_miss,ast_compact,none,15,15,2,15,0.133,1.0,0.0,1.7535092103071267e-06,5.26052763092138e-06
localstack/19,deepseek-flash,complete_miss,temporal_frequency,none,15,15,11,15,0.733,1.0,0.0,0.09961685823754789,0.19923371647509577
localstack/19,deepseek-flash,complete_miss,all_tools_required,none,15,15,12,15,0.8,1.0,0.0,0.22413793103448276,0.22413793103448276
localstack/19,gpt-oss-120b,success,ast_compact,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,gpt-oss-120b,success,temporal_frequency,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,gpt-oss-120b,success,all_tools_required,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,gpt-oss-120b,complete_miss,ast_compact,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/19,gpt-oss-120b,complete_miss,temporal_frequency,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/19,gpt-oss-120b,complete_miss,all_tools_required,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/19,ministral-3b,success,ast_compact,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,ministral-3b,success,temporal_frequency,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,ministral-3b,success,all_tools_required,none,15,15,0,0,0.0,0.0,,1.0,1.0
localstack/19,ministral-3b,complete_miss,ast_compact,none,15,15,2,12,0.133,0.8,0.0385,0.0006789175071906773,0.002036752521572032
localstack/19,ministral-3b,complete_miss,temporal_frequency,none,15,15,5,12,0.333,0.8,0.125,0.025327687033676136,0.025327687033676136
localstack/19,ministral-3b,complete_miss,all_tools_required,none,15,15,2,12,0.133,0.8,0.0385,0.0006789175071906773,0.002036752521572032
requests/12,deepseek-flash,success,ast_compact,none,15,15,2,0,0.133,0.0,inf,0.4827586206896552,0.9655172413793104
requests/12,deepseek-flash,success,cochange,none,15,15,3,0,0.2,0.0,inf,0.22413793103448276,0.6724137931034483
requests/12,deepseek-flash,success,freq,none,15,15,0,0,0.0,0.0,,1.0,1.0
requests/12,deepseek-flash,complete_miss,ast_compact,none,15,15,0,0,0.0,0.0,,1.0,1.0
requests/12,deepseek-flash,complete_miss,cochange,none,15,15,0,0,0.0,0.0,,1.0,1.0
requests/12,deepseek-flash,complete_miss,freq,none,15,15,0,0,0.0,0.0,,1.0,1.0
scikit-learn/45,ministral-3b,success,freq,none,15,15,0,0,0.0,0.0,,1.0,1.0
scikit-learn/45,ministral-3b,complete_miss,freq,none,15,15,7,0,0.467,0.0,inf,0.00632183908045977,0.00632183908045977
